record,name,cpf,address,birthday,Gluconise,H2B4,H356,HB_A56,Adrino_posina,Gamma_R,Nitro_K,H278,Positron_L,Plate,Factor_risk,norm_gamma_type,Blood_type,Blood_Rh,Low_Risk,Medium_Risk,High_Risk
32031,Vitória Peixoto,6819237413,"Trevo Moura, 8
Mangabeiras
58031-787 Azevedo das Flores / RS",2016-06-15,880.7681,70.19,220.19,48.33,Clinical Done,3,4.04,15409.27,37.8868,DD,6,0,B,+,False,True,False
51930,Dra. Sophie Moreira,5283471608,"Travessa de Fogaça, 52
Solar Do Barreiro
55893264 Costa / GO",2012-04-29,996.1739,99.04,249.04,37.5,,7,4.42,19262.29,41.7398,X,7,0,O,+,True,False,False
72084,Isabella Moreira,40971658285,"Via Almeida, 7
Beija Flor
56699143 Jesus / RN",2018-11-26,1235.0002,158.75,308.75,90.83,Clinical Done,3,3.18,6839.37,29.3169,CS,5,0,A,+,False,True,True
41084,Bruna Nunes,84391207613,"Distrito de Nascimento, 51
Camponesa 2ª Seção
76920869 Cardoso / SC",2013-06-03,850.4258,62.61,212.61,90.83,,4,4.37,18767.05,41.2446,,7,1,O,+,False,True,True
85620,Dra. Letícia Souza,38145907241,"Parque de Aragão
Vila Da Amizade
34158-265 Dias do Galho / ES",2014-04-01,1001.8051,100.45,250.45,48.33,Clinical Done,7,2.58,852.46,23.33,X,3,1,AB,+,False,True,False
51879,Luigi Freitas,80194527379,"Setor Barbosa, 20
Brasil Industrial
67447-173 da Luz / RS",2007-01-04,824.3784,56.09,206.09,48.33,Capsuled,7,3.2,7059.45,29.5369,DD,5,0,A,+,False,True,False
21418,Lívia Silva,27854601976,"Viela de Duarte, 8
Mariquinhas
57812-310 Rezende de da Luz / SC",2014-05-14,968.7132,92.18,242.18,37.5,Uncovered,7,2.57,697.65,23.1752,X,3,0,O,+,True,False,False
95083,Dr. Lucas Gabriel Monteiro,69508234105,"Largo de Silveira, 28
Canadá
32561878 Nogueira / AC",2011-09-10,1051.3141,112.83,262.83,90.83,,2,3.06,5610.8,28.0883,DD,5,1,O,-,False,True,True
60966,Rebeca Ramos,15240896305,"Travessa de Cardoso, 60
Universo
00423367 Correia / SE",2017-08-14,802.2442,50.56,200.56,37.5,Clinical Done,1,2.6,1037.63,23.5151,,3,1,O,+,True,False,False
8170,Mirella das Neves,51972638491,"Aeroporto Vicente Moreira, 22
Vila Santa Rosa
45152295 Rodrigues / PR",2010-08-21,932.2356,83.06,233.06,37.5,Capsuled,2,2.64,1382.53,23.86,DD,3,1,B,+,True,False,False
15905,Sr. Paulo Fogaça,46519823015,"Praça Marcela da Rocha, 633
Vila Da Ária
39316459 da Rosa / MA",2019-02-21,952.7632,88.19,238.19,48.33,Covered,4,3.41,9104.37,31.5819,B,5,1,O,+,False,True,False
20026,Gabriela Jesus,20513869433,"Estrada Monteiro, 52
Prado
31504-813 Santos / BA",2016-08-06,872.469,68.12,218.12,90.83,Uncovered,4,2.76,2584.49,25.062,A,4,0,B,+,False,True,True
86908,Dra. Maria Eduarda Silveira,97864532047,"Fazenda Rodrigues, 75
Universitário
62639641 Cardoso dos Dourados / SC",2009-11-06,762.4775,40.62,190.62,37.5,Covered,6,2.61,1153.58,23.6311,DD,3,1,AB,+,True,False,False
16639,Milena Oliveira,23761890478,"Núcleo Davi Luiz Costela, 519
Tupi B
04175590 Martins / MS",2000-04-19,715.7566,28.94,178.94,90.83,Clinical Done,3,2.75,2511.04,24.9885,CS,4,1,,-,False,True,True
56643,Thomas da Rocha,46827159337,"Favela Santos, 89
Heliopolis
61616-817 Silveira de da Costa / BA",2005-02-22,969.301,92.33,242.33,37.5,Capsuled,3,2.93,4327.66,26.8052,CS,4,1,B,+,True,False,False
91438,Maitê Moreira,82315607930,"Loteamento Alves, 89
Novo Tupi
07866595 Sales das Flores / PB",2007-02-01,946.1886,86.55,236.55,37.5,Clinical Done,3,3.13,6329.62,28.8071,DD,5,1,O,+,True,False,False
40390,Mariane Cardoso,6248391505,"Trevo Ana Barros, 975
Maria Helena
54452-803 Rodrigues / SE",2017-09-15,1446.2734,211.57,361.57,48.33,Clinical Done,7,2.73,2275.75,24.7532,CS,4,1,B,+,False,True,False
93395,Sr. Diogo Cavalcanti,47850162994,"Trevo Pereira, 43
Alto Barroca
89671814 Silva / RS",2017-12-28,513.0465,-21.74,128.26,37.5,Uncovered,4,3.52,10250.32,32.7278,DD,6,0,O,-,True,False,False
55417,Murilo Barros,37628945155,"Campo de Ribeiro, 99
João Pinheiro
85206289 Caldeira / PE",2002-01-12,1022.5453,105.64,255.64,37.5,Uncovered,7,3.16,6620.97,29.0985,,5,1,B,+,True,False,False
16415,Nicolas Dias,89674123555,"Vale Santos, 93
Nazare
74059-364 Pinto da Mata / RR",2023-04-19,1074.0889,118.52,268.52,37.5,Clinical Done,7,3.2,7059.26,29.5368,DD,5,0,O,-,True,False,False
19694,Ana Lívia Silveira,32058174941,"Rodovia Emanuelly Freitas, 5
Paraíso
16567-696 Cunha de Nunes / BA",2003-09-18,1271.9268,167.98,317.98,48.33,Covered,2,2.99,4914.65,27.3922,X,5,1,B,+,False,True,False
12420,Gabriel Farias,56729481030,"Setor Souza, 247
Renascença
32613-232 Rezende / RN",2014-10-05,1100.3714,125.09,275.09,48.33,Clinical Done,7,4.08,15803.71,38.2812,DD,6,0,O,+,False,True,False
51930,Benício Pereira,58906472374,"Rua Moura
Horto Florestal
91299-364 Fogaça / AC",2003-03-30,831.1573,57.79,207.79,37.5,,3,3.37,8697.61,31.1751,B,5,1,AB,+,True,False,False
19775,Srta. Ana Carolina Moreira,97328401613,"Jardim Danilo Martins, 94
Castelo
78255349 Novaes / MA",2005-01-03,1000.002,100.0,250.0,37.5,Covered,9,2.68,1793.44,24.2709,X,3,0,O,+,True,False,False
30257,Sr. Felipe Araújo,84150362998,"Esplanada de Peixoto, 98
Laranjeiras
70456-568 Azevedo Grande / GO",2004-05-30,1108.4705,127.12,277.12,37.5,Covered,7,3.71,12087.34,34.5648,DD,6,1,AB,+,True,False,False
14119,Carlos Eduardo Campos,25180397405,"Chácara Vinicius da Rosa, 15
Chácara Leonina
36014-939 Novaes de Farias / SC",2008-12-01,937.2984,84.32,234.32,37.5,Clinical Done,3,5.84,33419.12,55.8966,CS,8,0,AB,+,True,False,False
30719,Augusto Aragão,46159307800,"Aeroporto Nicolas Ramos, 741
Boa Vista
04031-302 Rezende / MT",2015-03-29,1154.2023,138.55,288.55,37.5,Covered,7,3.19,6954.14,29.4316,,5,1,O,-,True,False,False
60334,Dr. Cauê da Cruz,96305184739,"Ladeira Nicole Caldeira, 254
Pirineus
99656237 Cardoso / AM",2015-02-21,626.3819,6.6,156.6,48.33,Uncovered,7,4.7,22051.71,44.5292,B,7,0,AB,-,False,True,False
39560,Srta. Manuela Almeida,35617428900,"Vale Peixoto, 77
Céu Azul
58634-915 Porto de Minas / AP",2007-08-14,1346.2369,186.56,336.56,48.33,Capsuled,8,2.92,4202.13,26.6796,A,4,0,O,-,False,True,False
94642,Maria Sophia Barbosa,71948230631,"Vereda de Cardoso, 92
Vila Suzana Primeira Seção
62750267 Vieira da Serra / BA",2012-12-21,1293.5356,173.38,323.38,37.5,Uncovered,5,3.34,8396.0,30.8735,B,5,1,AB,-,True,False,False
65005,Davi Lucas Azevedo,64390721534,"Residencial Oliveira, 67
Grotinha
33924953 Teixeira da Prata / CE",2020-05-23,932.8645,83.22,233.22,48.33,Clinical Done,3,3.06,5600.73,28.0782,,5,0,AB,-,False,True,False
30441,João Felipe Correia,67398514093,"Trevo da Paz
Jardim Vitoria
95843-980 Nascimento Paulista / PB",2002-08-06,1122.2682,130.57,280.57,48.33,Capsuled,2,3.07,5762.77,28.2403,B,5,0,AB,+,False,True,False
78216,Joaquim Rodrigues,60429783574,"Feira de das Neves, 28
Saudade
68098943 da Costa dos Dourados / AM",2013-12-18,1009.5941,102.4,252.4,48.33,Uncovered,6,4.0,15008.59,37.4861,B,6,1,A,+,False,True,False
27383,Henrique Porto,71629058386,"Alameda de Melo, 95
Minaslandia
76968052 Dias do Campo / RO",2023-05-13,834.1729,58.54,208.54,37.5,Uncovered,9,3.27,7692.68,30.1702,DD,5,1,AB,+,True,False,False
91537,Stella Barbosa,70429615361,"Passarela de Fernandes, 46
São José
49245210 da Conceição do Oeste / AL",2012-12-31,1017.542,104.39,254.39,48.33,Covered,7,5.57,30757.76,53.2353,DD,8,1,,-,False,True,False
99222,Vitor Gabriel Nunes,82916340769,"Recanto da Costa, 30
Vila Sesc
26689-315 Ferreira da Serra / DF",2016-07-25,1200.0732,150.02,300.02,37.5,Clinical Done,6,3.29,7879.69,30.3572,X,5,0,AB,+,True,False,False
31226,Rafaela da Costa,32841975088,"Sítio Ferreira
Cidade Jardim Taquaril
47945566 Cardoso / PR",2006-09-07,923.7815,80.95,230.95,48.33,Covered,2,2.59,879.11,23.3566,CS,3,0,O,+,False,True,False
75637,Clarice Carvalho,85403217932,"Loteamento de Nunes, 80
Renascença
15493-651 Vieira do Campo / BA",2002-12-18,924.8661,81.22,231.22,48.33,Uncovered,3,2.96,4584.97,27.0625,,4,1,B,+,False,True,False
36425,Nina Lopes,62451093706,"Jardim Vinicius da Conceição, 340
São João Batista
94382-697 das Neves / PE",2019-07-26,985.1058,96.28,246.28,37.5,Clinical Done,4,4.4,19050.56,41.5281,B,7,0,B,-,True,False,False
26297,Antônio Porto,86531742909,"Feira Pietra Silveira, 8
Confisco
69519175 Mendes de da Mota / DF",2014-11-21,1086.6993,121.67,271.67,37.5,Capsuled,8,3.02,5235.89,27.7134,X,5,1,O,-,True,False,False
22377,Luiz Henrique Novaes,74096253170,"Condomínio de Pereira, 4
Vila Santo Antônio
67988419 Ferreira das Pedras / AC",2016-12-30,1255.6758,163.92,313.92,48.33,Clinical Done,4,2.53,298.29,22.7758,X,2,1,O,+,False,True,False
33134,Maitê Martins,73014856975,"Parque Gabriela Souza, 40
Vila Mantiqueira
61256988 Rocha do Oeste / SE",2013-03-11,873.0641,68.27,218.27,48.33,Capsuled,3,2.78,2861.75,25.3393,X,4,0,,+,False,True,False
71420,Joaquim Ferreira,41082367508,"Viela de Barbosa, 32
Vila Real 2ª Seção
52084695 Moreira / RO",2008-12-13,1101.6792,125.42,275.42,48.33,Capsuled,3,2.57,717.55,23.195,DD,3,0,AB,+,False,True,False
53722,Otávio Peixoto,38542709179,"Esplanada Maria Cecília Correia
Acaba Mundo
15415-423 Aragão da Mata / PR",2002-12-29,1043.2232,110.81,260.81,37.5,Clinical Done,2,7.59,50938.8,73.4163,DD,9,1,AB,+,True,False,False
18878,Alexia Cunha,80792163478,"Morro Isabelly Novaes, 2
Tupi B
31126-547 Ribeiro / BA",2022-08-15,628.2775,7.07,157.07,37.5,Covered,3,6.03,35283.41,57.7609,,8,0,AB,+,True,False,False
35923,Ana Carolina Fernandes,90851372686,"Alameda Mendes, 49
Glória
87323-039 Araújo / CE",2015-07-09,916.1367,79.03,229.03,37.5,Covered,4,4.11,16129.81,38.6073,CS,6,0,,+,True,False,False
65632,Cauê da Cruz,70234986131,"Vila Souza, 279
Solimoes
47626-124 Freitas / AP",2011-07-29,973.5342,93.38,243.38,37.5,Clinical Done,4,3.42,9230.94,31.7084,CS,5,1,B,+,True,False,False
45856,Caio Ramos,58706492347,"Chácara de Costela, 65
Vila Nova Gameleira 2ª Seção
81039-534 Cardoso / PR",2005-11-06,992.086,98.02,248.02,37.5,Uncovered,9,3.95,14502.49,36.98,DD,6,1,AB,+,True,False,False
87538,Daniela Silva,49158370684,"Aeroporto de Fernandes, 52
Camargos
57370-168 da Rosa / RS",2007-01-13,1065.2007,116.3,266.3,37.5,Uncovered,5,2.69,1876.47,24.354,X,3,0,,-,True,False,False
23432,Srta. Elisa Dias,87164905339,"Área de da Costa, 1
Granja De Freitas
63165-294 Costela do Amparo / SP",2005-11-11,591.9354,-2.02,147.98,37.5,,3,2.85,3490.07,25.9676,B,4,0,B,+,True,False,False
22092,Sra. Ana Julia Fernandes,6128973469,"Passarela de Azevedo, 8
Concórdia
59865-127 Carvalho / SC",2018-02-21,1009.2511,102.31,252.31,90.83,Covered,7,3.24,7447.28,29.9248,,5,0,,-,False,True,True
7306,Nicolas Dias,39167028403,"Largo de Pereira, 461
Inconfidência
92293-938 Fernandes / MA",2016-12-24,864.4649,66.12,216.12,90.83,Covered,2,2.94,4432.76,26.9103,B,4,1,O,+,False,True,True
43816,Vitória Moreira,90645837148,"Estação Eloah Nogueira, 642
Vila Do Pombal
21167542 da Rosa / PE",2007-09-05,712.1122,28.03,178.03,90.83,Capsuled,6,2.55,490.05,22.9676,DD,2,0,O,+,False,True,True
30754,Rodrigo Pereira,42758136007,"Colônia Lucas Gabriel Campos, 22
Copacabana
16196-626 Gonçalves Verde / SP",2019-08-01,1104.8593,126.21,276.21,90.83,Uncovered,3,6.58,40858.59,63.3361,DD,8,0,O,+,False,True,True
38204,Luiz Miguel Almeida,62093471507,"Aeroporto Davi Lucas Moura, 4
Universitário
62092-991 Teixeira / AP",2014-09-19,1147.0559,136.76,286.76,37.5,Clinical Done,5,3.08,5844.91,28.3224,B,5,0,AB,-,True,False,False
34441,Arthur Nogueira,90647812304,"Lago de Santos, 7
Cdi Jatoba
73442-172 Ramos / PE",2015-11-13,869.3499,67.34,217.34,90.83,,2,3.2,7034.3,29.5118,B,5,0,AB,+,False,True,True
88822,Bruna Correia,8625349765,"Via de Cardoso, 86
Tirol
89824-191 da Conceição / RO",2013-12-27,1168.4913,142.12,292.12,37.5,Clinical Done,3,2.89,3931.34,26.4088,B,4,1,B,+,True,False,False
14309,Rebeca Carvalho,89024537150,"Ladeira de Souza, 77
Taquaril
97550-960 Barros / RR",2019-12-27,923.6967,80.92,230.92,48.33,Capsuled,8,2.8,3030.1,25.5076,B,4,0,O,-,False,True,False
29510,Calebe Castro,53204687929,"Residencial de da Cruz
Parque São Pedro
80476-383 Pinto Paulista / MT",2009-02-18,1013.2978,103.32,253.32,37.5,,5,2.99,4914.61,27.3921,,5,0,O,+,True,False,False
56406,Diego Dias,17360428580,"Ladeira Carvalho, 545
Zilah Sposito
23668366 Nogueira das Pedras / SE",2021-12-09,780.2522,45.06,195.06,90.83,Covered,8,4.28,17861.42,40.3389,B,7,1,O,+,False,True,True
80326,Enrico Araújo,90628357168,"Campo Yuri Castro, 1
Santo André
53207120 Costa da Mata / RR",2014-08-20,1316.8974,179.22,329.22,37.5,Uncovered,6,3.83,13368.9,35.8464,X,6,1,A,+,True,False,False
90131,Natália Rezende,67198345255,"Rodovia André Oliveira, 70
Ipiranga
59882588 Mendes de Minas / RS",2017-09-02,468.1101,-32.97,117.03,90.83,,6,2.98,4790.13,27.2676,DD,5,1,AB,+,False,True,True
11320,Gabriela Teixeira,25347019832,"Área Lima, 66
Providencia
92289-194 Peixoto / DF",2011-04-17,981.7095,95.43,245.43,37.5,Clinical Done,6,2.51,153.53,22.631,X,2,0,O,-,True,False,False
3538,Isis da Rosa,1692487558,"Travessa Cauã da Rocha, 70
Conjunto Providencia
90117307 Cavalcanti Paulista / DF",2003-04-23,1139.0239,134.76,284.76,48.33,Uncovered,3,4.1,15987.96,38.4655,B,6,1,A,+,False,True,False
40321,Sophie da Rocha,24538967173,"Estrada Viana
Saudade
61734736 Teixeira da Praia / SE",2004-07-15,593.3067,-1.67,148.33,37.5,Capsuled,6,2.81,3161.24,25.6387,A,4,1,O,+,True,False,False
37188,Sra. Lara Silva,86397021440,"Loteamento de Cavalcanti
Zilah Sposito
18333667 Nascimento / AL",2011-07-03,962.1061,90.53,240.53,48.33,Uncovered,6,3.37,8761.64,31.2391,X,5,1,AB,+,False,True,False
87720,Nathan Barros,98756324146,"Campo de Gomes, 604
Mala E Cuia
35525442 Mendes de da Cunha / CE",2005-08-14,984.5563,96.14,246.14,48.33,,4,2.53,281.33,22.7588,A,2,0,O,+,False,True,False
10321,Marcela da Mata,24803915741,"Conjunto Nina Ribeiro, 9
Morro Dos Macacos
02074737 Mendes das Flores / RJ",2004-04-27,1164.9406,141.24,291.24,48.33,Clinical Done,10,3.59,10875.57,33.3531,B,6,1,A,-,False,True,False
87494,Rafael Rocha,97530826140,"Sítio Rebeca Caldeira, 5
Lindéia
21041176 da Cunha de Cardoso / RS",2020-12-29,1249.6426,162.41,312.41,90.83,,7,2.99,4924.95,27.4024,,5,0,AB,+,False,True,True
48121,Sr. Luiz Henrique Costa,68421795058,"Núcleo Bryan Jesus, 702
Vila São Francisco
13962-536 Lima de da Mata / PA",2001-02-28,919.2215,79.81,229.81,48.33,Clinical Done,6,3.19,6895.62,29.3731,B,5,1,A,+,False,True,False
81021,Isabelly Gonçalves,75261490316,"Residencial de Cavalcanti, 61
Nova Suíça
63961-486 Castro / PR",2014-10-01,723.0963,30.77,180.77,48.33,Covered,4,3.04,5382.32,27.8598,DD,5,0,B,+,False,True,False
66021,Sra. Gabriela Aragão,53186027977,"Esplanada Francisco Costela, 20
São Francisco Das Chagas
22727-007 Campos / RJ",2011-08-05,1273.4471,168.36,318.36,37.5,Clinical Done,7,2.93,4343.75,26.8213,DD,4,0,B,-,True,False,False
82529,Júlia Castro,23495107606,"Pátio Evelyn Viana
Vila Jardim São José
83583126 Teixeira das Pedras / MA",2012-03-20,1243.5771,160.89,310.89,37.5,Clinical Done,5,3.3,8029.33,30.5068,DD,5,1,O,-,True,False,False
24466,Henrique da Paz,34591027805,"Jardim de Fogaça, 22
Vila Barragem Santa Lúcia
57496953 Ramos / GO",2001-09-14,907.5989,76.9,226.9,37.5,Clinical Done,5,6.11,36108.66,58.5862,A,8,1,AB,+,True,False,False
71130,Alexia Porto,20436851717,"Lago Rezende, 66
João Paulo Ii
91873-555 Melo / MS",2014-03-05,1070.1777,117.54,267.54,48.33,Capsuled,4,2.62,1219.08,23.6966,X,3,0,AB,+,False,True,False
2903,Juan Rodrigues,27619045325,"Condomínio de Costa, 52
Morro Dos Macacos
07690600 Souza do Amparo / RJ",2006-07-11,1076.3732,119.09,269.09,48.33,Uncovered,3,2.88,3780.47,26.258,X,4,1,A,-,False,True,False
92459,Cecília Cardoso,64980175201,"Feira Barbosa, 501
Custodinha
49847-317 Araújo Paulista / ES",2005-05-09,1113.2551,128.31,278.31,37.5,Uncovered,6,2.54,449.46,22.927,,2,1,AB,+,True,False,False
67301,Gustavo Henrique Araújo,29380714505,"Rua Ferreira, 85
Satelite
93155809 Gomes do Sul / CE",2008-12-30,1040.8416,110.21,260.21,37.5,Uncovered,4,3.84,13431.88,35.9094,,6,1,A,-,True,False,False
45002,Dr. Thiago Cardoso,48712569011,"Campo João Aragão, 7
Alto Caiçaras
43534917 Ramos / MT",2006-03-20,1281.3392,170.33,320.33,37.5,Uncovered,7,3.57,10737.7,33.2152,X,6,0,AB,+,True,False,False
26842,Vitor Gabriel Rodrigues,95462180730,"Lago Moraes, 84
Caetano Furquim
73773384 Campos da Praia / CE",2022-06-18,652.4081,13.1,163.1,48.33,,2,2.74,2438.58,24.9161,DD,4,1,B,-,False,True,False
15843,Carlos Eduardo Moura,90628371586,"Alameda Isabelly Cardoso, 32
Lajedo
15123-809 Oliveira / PR",2006-11-04,1208.1648,152.04,302.04,48.33,Uncovered,3,3.04,5413.95,27.8915,CS,5,0,O,+,False,True,False
23515,Raquel Rezende,63897245191,"Favela Moura, 219
Novo Glória
60611-732 Cunha da Prata / AC",2008-12-18,1076.0944,119.02,269.02,37.5,Covered,6,3.53,10346.31,32.8238,,6,1,B,+,True,False,False
73440,Vitor Gabriel Monteiro,7928613530,"Viaduto Freitas, 14
Vila Copacabana
63005-894 Campos / MA",2005-05-24,956.5729,89.14,239.14,48.33,,3,3.58,10854.26,33.3318,DD,6,0,A,+,False,True,False
81719,Ana Vitória Fernandes,32410569889,"Distrito Erick Moraes, 854
Alto Vera Cruz
37580012 Nunes / AP",2007-07-27,1234.7063,158.68,308.68,37.5,Clinical Done,5,2.69,1891.55,24.369,B,3,0,B,+,True,False,False
48848,Cauã Cardoso,60294518711,"Passarela de Moraes
Conjunto Providencia
08584621 Caldeira do Campo / DF",2020-03-24,,-17.18,132.82,37.5,,6,4.63,21363.78,43.8413,CS,7,0,B,+,True,False,False
21830,Helena Novaes,97842136564,"Loteamento da Mata, 39
Madre Gertrudes
31998-509 Ferreira de Barbosa / AC",2016-01-16,1232.3043,158.08,308.08,90.83,Uncovered,7,4.01,15073.65,37.5511,X,6,0,O,-,False,True,True
41674,Ryan Cavalcanti,10459832760,"Aeroporto Maria Vitória Lopes, 4
Vila Santa Rosa
04165-491 Peixoto / MS",2014-12-04,1077.2156,119.3,269.3,37.5,Uncovered,8,2.64,1460.67,23.9382,DD,3,0,A,-,True,False,False
22437,Pedro Henrique Ribeiro,57426091830,"Sítio Ferreira, 4
Céu Azul
14740-089 Barros do Oeste / RS",2008-01-07,773.3733,43.34,193.34,37.5,Uncovered,3,4.53,20341.72,42.8192,X,7,0,AB,+,True,False,False
11323,Thiago Sales,34082196722,"Vereda de Lopes, 893
Nossa Senhora Da Aparecida
49917190 da Mota Paulista / AM",2010-04-28,1086.6185,121.65,271.65,48.33,Uncovered,4,3.88,13836.68,36.3142,B,6,1,AB,-,False,True,False
47889,João Gabriel Ramos,36501942799,"Esplanada Eduardo Vieira, 181
Santa Branca
52737300 Nascimento de Oliveira / MA",2010-12-22,,84.8,234.8,90.83,Clinical Done,7,4.1,16046.41,38.5239,,6,0,B,+,False,True,True
62110,João Lucas Fogaça,82049715323,"Loteamento Paulo Alves
São Salvador
00345775 Araújo / PE",2000-04-09,1517.059,229.26,379.26,37.5,Uncovered,4,3.28,7860.78,30.3383,,5,0,AB,+,True,False,False
41421,Marcela Rocha,27650418901,"Vale de Vieira, 6
Colégio Batista
55809-424 Barbosa Verde / AM",2004-04-07,1367.0665,191.77,341.77,90.83,Covered,3,2.75,2517.86,24.9954,DD,4,1,AB,+,False,True,True
15386,Dra. Yasmin Peixoto,38651074271,"Viela Marcelo Barros, 67
São João
44978-708 da Mata de Vieira / SC",2022-11-18,1088.138,122.03,272.03,37.5,Covered,5,5.01,25088.95,47.5664,,7,1,A,+,True,False,False
79655,Nina Gonçalves,23946518060,"Aeroporto de Martins, 73
Trevo
11586-202 Viana do Amparo / MT",2008-02-19,856.1492,64.04,214.04,48.33,Covered,3,3.4,8989.45,31.467,DD,5,0,,+,False,True,False
53227,Daniela da Cruz,86729043113,"Praça de Teixeira
Vila Jardim Montanhes
97931386 Peixoto de Minas / AP",2008-01-06,883.3171,70.83,220.83,90.83,Capsuled,5,2.93,4272.62,26.7501,CS,4,1,O,+,False,True,True
69439,Maria Vitória Ferreira,25603791802,"Praia Viana, 97
Madre Gertrudes
65426-047 da Paz / SC",2016-12-19,934.9901,83.75,233.75,48.33,Clinical Done,6,2.81,3084.74,25.5622,X,4,0,AB,+,False,True,False
10991,Lara Cardoso,69458723000,"Trevo de Moraes, 18
Satelite
72380073 Jesus da Prata / AC",2006-09-08,887.9531,71.99,221.99,37.5,Uncovered,7,4.95,24546.76,47.0243,A,7,0,O,+,True,False,False
95380,Sabrina Castro,38624719003,"Passarela Olivia da Mota, 42
Vila Batik
74589-229 Carvalho / ES",2023-05-04,819.5508,54.89,204.89,48.33,Uncovered,4,3.04,5465.21,27.9427,DD,5,1,O,+,False,True,False
89075,João Gabriel da Luz,14576398237,"Feira Rodrigues, 8
Palmares
00586-089 Caldeira Verde / RR",2016-05-09,881.8055,70.45,220.45,90.83,Uncovered,5,3.28,7791.95,30.2695,DD,5,1,,-,False,True,True
57531,Bianca Peixoto,84375069210,"Avenida Teixeira, 409
Vila Maria
85668-041 Moraes Alegre / PB",2006-08-19,944.7641,86.19,236.19,90.83,Uncovered,7,3.44,9398.72,31.8762,B,5,1,O,-,False,True,True
72369,Bryan Azevedo,9468732169,"Trevo Fernandes
Jardim Atlântico
28538876 Alves / PB",2021-12-04,896.6232,74.16,224.16,37.5,Capsuled,7,4.25,17523.87,40.0014,DD,6,1,O,+,True,False,False
